id,artist,review_ids
182,akrobatik,['90']
183,akron/family,"['18046', '15052', '12980', '10671', '9442', '189', '473']"
184,akufen,"['92', '91']"
185,al green,"['12927', '11515']"
186,alabama shakes,"['20420', '16479']"
187,alamaailman vasarat,['95']
188,alan braxe,['1169']
189,alan singley & pants machine,['9459']
190,alan sparhawk,['9299']
191,alan splet,['16948']
192,alanis morissette,['5429']
193,alarm will sound,"['21801', '481']"
194,alasdair roberts,"['20049', '13110', '9856', '6800']"
195,alasdair roberts & friends,['17554']
196,alaska in winter,"['12494', '10920']"
197,alaska!,"['97', '96']"
198,albert ayler,"['21345', '11649']"
199,albert hammond jr.,"['20847', '18600', '11989', '9509']"
200,albert marcoeur,['5105']
201,alcest,"['18901', '16289', '15467', '14164']"
202,aldebaran,['16704']
203,alec deruggiero,['11725']
204,alec empire,['2780']
205,alejandra and aeron,['103']
206,alejandro escovedo,"['2830', '2831']"
207,aleks and the drummer,['12743']
208,alela diane,"['18265', '15276', '12714']"
209,alessandro baricco,['79']
210,alessandro cortini,['20802']
211,alessandro stefana,['10245']
212,alessia cara,"['21247', '21074']"
213,alex bleeker and the freaks,"['18054', '14044']"
214,alex burkat,['18252']
215,alex calder,['17888']
216,alex cameron,['22226']
217,alex chilton,"['18542', '16137']"
218,alex clare,['15694']
219,alex delivery,['10170']
220,alex g,"['21138', '19462']"
221,alex izenberg,['22676']
222,alex moulton,['12684']
223,alex smoke,"['21539', '14034']"
224,alex turner,['15224']
225,alex winston,['16354']
226,alexander,['15252']
227,alexander spit,"['18198', '17637']"
228,alexander tucker,['12184']
229,alexander turnquist,['11386']
230,alexi murdoch,['9427']
231,alexis taylor,"['21946', '19455', '17488', '12460']"
232,alfie,"['105', '106']"
233,algiers,['20412']
234,ali farka tour,"['13883', '9270']"
235,alias,"['15721', '12395', '10118', '409', '408']"
236,alias and tarsier,['11879']
237,alice bag,['22069']
238,alice boman,['19445']
239,alice cohen,['17053']
240,alice gerrard,['19660']
241,alice in chains,['18086']
242,alicia keys,"['22582', '17476']"
243,alina simone,"['15506', '11996', '10888', '7807']"
244,alison krauss,['8766']
245,alkaline trio,['110']
246,all,['11991']
247,all dogs,['20961']
248,all girl summer fun band,"['12213', '114', '113']"
249,all natural,['115']
250,all night radio,['424']
251,all smiles,['10149']
252,all the saints,['12533']
253,all tiny creatures,['15203']
254,all we are,['20141']
255,all-time quarterback,['116']
256,allah-las,['17463']
257,allan kingdom,['21490']
258,allen ginsberg,['21933']
259,allen toussaint,['22007']
260,allo darlin',"['19758', '16502', '14354']"
261,aloe blacc,"['14695', '9713']"
262,alog,"['16193', '10381', '462', '461']"
263,aloha,"['14000', '11067', '130', '129', '128']"
264,alpha,['132']
265,alpha 606,['22112']
266,alphabeat,['12103']
267,alpinestars,['134']
268,alpoko don,['17991']
269,alraune,['19591']
270,alsace lorraine,"['10297', '135']"
271,alt-j,"['19843', '17233']"
272,altar of plagues,['17854']
273,aluk todolo,"['21529', '17191']"
274,aluminium group,"['142', '141', '139']"
275,alunageorge,"['22400', '18298', '16540']"
276,alva noto,['143']
277,alvvays,['19508']
278,am/fm,"['145', '144', '146']"
279,amadou & mariam,"['16435', '15017', '13343', '12435', '485']"
280,amalgamated sons of rest,['148']
281,amanaz,['14050']
282,amanda blank,['13158']
283,amanda palmer,['12208']
284,amandine,"['10158', '493']"
285,amateur best,['17636']
286,amazing baby,['13286']
287,ambulance ltd,['407']
288,amen dunes,"['20085', '19234', '15760', '13476']"
289,america,['9781']
290,american analog set,"['159', '156', '154', '157', '155']"
291,american catastrophe,['10372']
292,american football,"['22526', '19352']"
293,american heritage,['161']
294,american music club,"['11185', '454']"
295,american steel,['164']
296,american wrestlers,"['22562', '20285']"
297,amerie,"['10590', '458']"
298,amesoeurs,['13063']
299,ami yoshida,['8862']
300,amiina,"['10625', '491']"
301,amir alexander,['20549']
302,amir elsaffar,['11252']
303,ammoncontact,['455']
304,amnesia scanner,['21737']
305,amon amarth,"['18222', '12393']"
306,amon dl,['421']
307,amon dl ii,"['167', '168']"
308,amon tobin,"['15519', '9945', '8089', '8088', '8085', '8087', '8082']"
309,amor de das,"['17567', '15446']"
310,ampbuzz,['171']
311,amps for christ,"['19154', '16501', '9040', '174', '173']"
312,amthst,['21608']
313,amusement parks on fire,['486']
314,amy annelle,['197']
315,amy klein,['22001']
316,amy millan,"['13437', '9062']"
317,amy winehouse,"['21214', '17295', '16112', '10900', '10032']"
318,an albatross,"['12574', '9174', '423']"
319,an angle,['474']
320,an autumn for crippled children,['20260']
321,an horse,"['15520', '12789']"
322,anaal nathrakh,['17319']
323,anamai,['20312']
324,anand wilder,['19644']
325,anas mitchell,['16461']
326,anas mitchell & jefferson hamer,['17650']
327,anasarca,['176']
328,anasazi,"['20383', '177']"
329,anathallo,"['12461', '9164']"
330,anatomy of habit,['19956']
331,ancestors,['12252']
332,ancient warfare,['20988']
333,anciients,['17879']
334,anders ilar,['4071']
335,anders parker,['6559']
336,anderson .paak,"['21387', '21049']"
337,andr bratten,"['21299', '20634']"
338,andre afram asmar,['322']
339,andre ethier,['2906']
340,andrea parkins,['2832']
341,andrea perry,['6243']
342,andrew bird,"['21751', '18753', '17209', '16356', '12605', '11046', '10016', '714', '713']"
343,andrew broder,['1087']
344,andrew cedermark,"['18274', '14628']"
345,andrew coleman,['1543']
346,andrew duke,['2474']
347,andrew hung,"['21159', '20405']"
348,andrew pekler,['10358']
349,andrew thomas,['13996']
350,andrew w.k.,"['16836', '13957', '184']"
351,andrew weatherall,['16652']
352,andy kaufman,['18256']
353,andy kim,['20365']
354,andy moor,['4592']
355,andy moor and dj/rupture,['12652']
356,andy partridge,"['10184', '9785', '11801', '6182', '6183']"
357,andy stott,"['21833', '20021', '17205', '15971', '15447']"
358,andy votel,['8500']
359,ane brun,"['12513', '1205']"
360,anenon,['21512']
361,angel du$t,['21910']
362,angel haze,"['18876', '17402', '16883']"
363,angel molina,['5584']
364,angel olsen,"['22282', '18956', '17154']"
365,angela desveaux,"['12228', '9551']"
366,angelo badalamenti,['22327']
367,angry angles,['21975']
368,angus maclise,"['5023', '1226']"
369,anhedonist,['16517']
370,anika,"['17874', '15014']"
371,animal collective,"['21333', '18137', '16980', '13818', '13739', '13072', '12518', '11479', '10650', '9818', '9571', '193', '192', '191', '190', '1268', '7941', '7940']"
372,animals,['500']
373,animals as leaders,['22617']
374,anjou,['19732']
375,anna calvi,"['19504', '18601', '15153']"
376,anna caragnano & donato dozzy,['20387']
377,anna homler,['21414']
378,anna meredith,"['21527', '18393', '17400']"
379,anna oxygen,['6081']
380,anna ternheim,"['13889', '12289']"
381,anna von hausswolff,['21135']
382,anna wise,['21850']
383,annette peacock,['6552']
384,anni rossi,['12747']
385,annie,"['18316', '13696', '457', '456']"
386,annie hayden,['3778']
387,annuals,"['14004', '12300', '11017', '9607']"
388,anohni,['21819']
389,antarctica takes it!,['14460']
390,antelope,['10256']
391,antena,['426']
392,"anthony ""shake"" shakir",['13914']
393,anthony braxton,['21535']
394,anthony naples,['20075']
395,anthrax,['494']
396,anti-pop consortium,"['13559', '208', '211', '210', '209']"
397,antibalas,['16913']
398,antibalas afrobeat orchestra,"['214', '212', '213']"
399,anticon,['215']
400,antietam,['11391']
