id,artist,review_ids
1490,conor oberst and the mystic valley band,['12992']
1491,conrad keely,['21433']
1492,consequence,['1772']
1493,console,['1585']
1494,consonant,"['1588', '1587']"
1495,constantines,"['11451', '1591', '1590']"
1496,container,"['20826', '19024', '17481']"
1497,controlled bleeding,['22260']
1498,controller.controller,"['1769', '1768']"
1499,converge,"['17132', '13625', '9680', '1595', '1594']"
1500,convocation of,['1596']
1501,cool uncle,['21271']
1502,cooly g,"['21113', '16866']"
1503,copeland,['19392']
1504,copenhagen art ensemble,['663']
1505,coptic light,['1825']
1506,copywrite,['1600']
1507,coquettish,['1601']
1508,corin tucker band,"['17043', '14700']"
1509,corinne bailey rae,['21900']
1510,cornelius,"['21980', '10084', '1607', '1608', '1610']"
1511,cornershop,"['16589', '15378', '13813', '1612']"
1512,corrections house,['21207']
1513,correcto,['12102']
1514,corrina repp,"['21008', '9633']"
1515,corrosion of conformity,['16328']
1516,cortney tidwell,['13157']
1517,cosmin trg,"['17918', '15772']"
1518,cost,['1613']
1519,cotton jones,"['14747', '12613']"
1520,cougar,['9861']
1521,cough,"['21890', '17894']"
1522,coughee brothaz,['10823']
1523,coughs,['1797']
1524,country teasers,['1719']
1525,courtney barnett,"['20268', '18641']"
1526,courtney love,['4889']
1527,cousteau,['1638']
1528,cowboy junkies,"['11162', '10119', '1642', '1640', '1639']"
1529,coyote bones,['10354']
1530,cozz,['21446']
1531,cracker,['1651']
1532,craft spells,"['19430', '16591', '15280']"
1533,craig armstrong,['292']
1534,craig finn,"['20993', '16201']"
1535,craig leon,"['19434', '18553']"
1536,craig taborn,['8257']
1537,craig wedren,"['15872', '8809']"
1538,crain,['1803']
1539,cranes,"['12576', '1660']"
1540,crash of rhinos,['18357']
1541,crater,['21620']
1542,craw,['21330']
1543,crazy horse,"['17213', '16684', '9687']"
1544,creation rebel,['19299']
1545,creep,['18759']
1546,creeper lagoon,"['1665', '1662']"
1547,creepoid,['20735']
1548,crescent,['1730']
1549,crime,['1776']
1550,crippled black phoenix,['10659']
1551,crispy ambulance,['1668']
1552,cristian vogel,"['22303', '8483', '8482']"
1553,cristina,['11707']
1554,criteria,['1815']
1555,croatian amor,['22408']
1556,crocodiles,"['20595', '18411', '16698', '14645', '12969']"
1557,crooked fingers,"['15917', '14378', '12309', '1673', '1670', '1669', '1672', '1671']"
1558,crooked man,['22406']
1559,crookers,['20294']
1560,cross record,['21482']
1561,crosss,['20581']
1562,crowbar,['19373']
1563,crowded house,['10432']
1564,crown city rockers,['1773']
1565,cruiser,['1677']
1566,crying,['22548']
1567,crypt sermon,['20303']
1568,cryptacize,['12939']
1569,crystal antlers,"['18646', '15593', '12847', '11580']"
1570,crystal castles,"['22243', '17272', '14190', '11215']"
1571,crystal stilts,"['18493', '16078', '15304', '12381', '11469']"
1572,css,"['18163', '15794', '12016', '9175']"
1573,cub,"['11294', '11902']"
1574,cubic zirconia,['15948']
1575,cul de sac,"['1688', '1687', '1685', '1684', '1686']"
1576,cullen omori,['21838']
1577,cult leader,['21152']
1578,cult of luna,['17679']
1579,cult of youth,"['19867', '16987', '15719']"
1580,culted,['18981']
1581,cults,"['18608', '15432']"
1582,culture,['10716']
1583,cunninlynguists,['1689']
1584,curren$y,"['20466', '19131', '17761', '16699', '16384', '15820', '15591', '15385', '14906', '14474']"
1585,current 93,"['18924', '13108', '9224', '1751', '1750']"
1586,currituck co.,"['1759', '1758']"
1587,curse of the golden vampire,['1717']
1588,cursive,"['16291', '12818', '9323', '1702', '1698', '1701', '1700']"
1589,cursor miner,['9235']
1590,curt kirkwood,['4608']
1591,cut chemist,"['14716', '1781', '2372']"
1592,cut copy,"['18689', '15187', '15055', '11407']"
1593,cut hands,"['19898', '17444', '15699']"
1594,cut off your hands,"['15738', '12620']"
1595,cute heels,['19223']
1596,cuushe,['18597']
1597,cyann & ben,"['9862', '1722', '1721']"
1598,cybotron,['18886']
1599,cyclopean,['17647']
1600,cylob,['1705']
1601,cymbals,['18869']
1602,cymbals eat guitars,"['22397', '19723', '15757', '12826']"
1603,cynic,"['18859', '16034']"
1604,cynthia dall,['2150']
1605,d'eon,"['16683', '15439', '14921']"
1606,d+,"['2122', '2121']"
1607,d. charles speer,['15444']
1608,d. charles speer and the helix,"['19073', '14421', '13718', '11567']"
1609,d. lissvik,['12653']
1610,d. matz,['3455']
1611,d. rider,['12920']
1612,d. yellow swans,['8910']
1613,d.a.r.k.,['21989']
1614,d.r.a.m.,"['22523', '21226']"
1615,d4,['2124']
1616,dabke,['16998']
1617,dabrye,"['9203', '2623']"
1618,dacm,"['2127', '2126']"
1619,daddy kev,['389']
1620,dads,['19851']
1621,daedelus,"['18490', '15331', '14127', '12018', '11077', '2132', '2131', '2130', '1031', '2129']"
1622,daevid allen's university of errors,['118']
1623,daft punk,"['18028', '14938', '10925', '2138', '2137', '2136', '2135', '2134']"
1624,daftside,['18243']
1625,dag nasty,['2140']
1626,daikaiju,['2622']
1627,dale earnhardt jr. jr.,['15468']
1628,dalhous,"['19490', '19149']"
1629,dam mantle,['15159']
1630,dama/libra,['19583']
1631,damaged bug,['19041']
1632,dame fate,['2152']
1633,damero,['9943']
1634,damian lazarus,['13307']
1635,damian marley,"['14265', '5664']"
1636,damien jurado,"['18926', '16318', '14258', '12773', '9565', '4329', '4327', '4323', '4326', '4328', '4325', '4324']"
1637,damien rice,"['9641', '6898']"
1638,damo suzuki,"['7842', '1688']"
1639,damon & naomi,"['20258', '15379', '13390', '12197', '11927', '2159', '2157', '2156']"
1640,damon albarn,"['19280', '16585', '99']"
1641,damon mcmahon,['9580']
1642,dan auerbach,['12669']
1643,dan bodan,['19992']
1644,dan bryk,['13357']
1645,dan deacon,"['20279', '17094', '12833', '10207']"
1646,dan friel,"['21174', '17622', '11918', '3319']"
1647,dan le sac vs. scroobius pip,['12135']
1648,dan lissvik,"['21972', '20254']"
1649,dan melchior und das menace,['19436']
1650,dan the automator,['374']
1651,dan'l boone,['19696']
1652,dananananaykroyd,['12964']
1653,danava,"['11238', '9610']"
1654,dance disaster movement,"['2609', '2160']"
1655,dangelo,"['20078', '17407']"
1656,danger doom,"['9098', '2624']"
1657,danger mouse,"['15435', '2518', '2540', '2517']"
1658,danger mouse and sparklehorse,['13193']
1659,dani siciliano,"['9421', '7732']"
1660,"daniel ""a.i.u."" higgs","['10442', '9807']"
1661,daniel avery,['18638']
1662,daniel bachman,"['22395', '20433', '19605']"
1663,daniel higgs,"['14827', '14256']"
1664,daniel johnston,"['14410', '13589', '11766', '4283', '4280', '4282', '2956', '4281']"
1665,daniel lanois,"['22289', '20007', '4951', '4950']"
1666,daniel lopatin,['17327']
1667,daniel martin moore,"['15021', '12588']"
1668,daniel menche,"['18108', '11906', '5549']"
1669,daniel romano,['21956']
1670,daniel rossen,['16394']
1671,daniel wohl,"['21419', '18244']"
1672,daniel.t.,['20968']
1673,daniele baldelli,['20521']
1674,daniele luppi,['15435']
1675,danielson,"['15135', '12436']"
1676,danielson famile,"['2642', '2165', '2166']"
1677,danny brown,"['22468', '18565', '15987', '15753', '14760']"
1678,danny l harle,['21294']
1679,danny paul grody,['18421']
1680,danny!,['12082']
1681,danzig,['10539']
1682,daphne oram,['16262']
1683,daphni,['17183']
1684,dappled cities,"['13623', '10302']"
1685,darcy james argue's secret society,['22299']
1686,darediablo,['2521']
1687,dark dark dark,"['17123', '14926']"
1688,dark meat,"['13688', '9767']"
1689,dark party,['15028']
1690,dark sky,['19614']
1691,darkel,['9498']
1692,darker my love,"['14521', '12133']"
1693,darkside,"['18586', '16116']"
1694,darkspace,['19819']
1695,darkstar,"['22090', '17575', '14693']"
1696,darkthrone,"['22495', '17642', '2634']"
1697,darren hanlon,"['14746', '4015']"
1698,darwin deez,['17722']
1699,das racist,"['15822', '14662', '14376']"
1700,dat politics,"['9019', '2174', '2173']"
1701,data 80,['2175']
1702,datarock,"['13207', '2606']"
1703,datashock,['19340']
1704,date course pentagon royal garden,['2177']
1705,date palms,['18158']
1706,datsuns,"['11716', '2178']"
1707,daughn gibson,"['20597', '18248', '16466']"
1708,daughter,['21455']
1709,daughters,"['14186', '9339']"
1710,davd garza,['3644']
1711,dave aju,['16582']
1712,dave cloud & the gospel of power,['20937']
1713,dave derby,['2507']
1714,dave douglas,"['20652', '2538']"
1715,dave gahan,"['21119', '10827', '3623']"
1716,dave grohl,['17810']
1717,dave harrington group,['21699']
1718,dave.i.d,['15709']
1719,david axelrod,"['392', '391']"
1720,david banner,"['16778', '15005', '12012', '1176']"
1721,david bazan,['9209']
1722,david borden,['20265']
1723,david bowie,"['21896', '21558', '21487', '21476', '21478', '21477', '21488', '21332', '21066', '20004', '17855', '14687', '13610', '13202', '11947', '10938', '10274', '11681', '880', '882', '881']"
1724,david byrne,"['17026', '14113', '12151', '10870', '10783', '1064', '1063', '1062', '1060']"
1725,david crosby,['22549']
1726,david cross,"['14233', '1676', '1675']"
1727,david daniell,"['16596', '9795']"
1728,david dondero,"['15144', '14529', '10632', '2529', '2528']"
1729,david first,['18967']
1730,david gilmour,['14692']
1731,david grubbs,"['17873', '12299', '3584', '3583', '3582', '3581']"
1732,david holmes,"['14205', '12236']"
1733,david karsten daniels,"['14441', '11962', '9885']"
1734,david kauffman,['20560']
1735,david kilgour,"['10044', '4422', '4421']"
1736,david kilgour and the heavy eights,"['19568', '15392']"
1737,david lang,"['19369', '18023', '13775', '12774']"
1738,david last,['4983']
1739,david lynch,"['19274', '18275', '16948', '15999', '13252']"
1740,david novick,['18808']
1741,david s. ware quartet,"['8583', '8582']"
1742,david shrigley,['10848']
1743,david sylvian,"['16332', '14812', '13496', '7683', '7681', '7682']"
1744,david thomas broughton,"['15487', '11157', '1192']"
1745,david toop,"['22022', '8109']"
1746,david torn,['10192']
1747,david vandervelde,"['12107', '9792']"
1748,david wingo,['18317']
1749,david yow,['18209']
1750,davila 666,['15223']
1751,davinci,"['19279', '17201', '15819', '14167']"
1752,dawn mccarthy,"['17797', '11656']"
1753,dawn of midi,['18308']
1754,dawn richard,"['22648', '21923', '20104', '17619', '17494', '16486']"
1755,dawn smithson,['7835']
1756,dawnbringer,['16696']
1757,dax riggs,['10821']
1758,daylight's for the birds,['9817']
1759,daz dillinger,['21440']
1760,dbridge,['18351']
1761,dd/mm/yyyy,['13017']
1762,de la soul,"['22353', '22043', '19215', '13016', '2208', '2207']"
1763,de novo dahl,"['11334', '2611']"
1764,dead and gone,['2209']
1765,dead can dance,"['16906', '2212']"
1766,dead child,['11412']
1767,dead combo,['2584']
1768,dead confederate,"['14526', '12675']"
1769,dead congregation,['19457']
1770,dead gaze,['18624']
1771,dead kennedys,['2626']
1772,dead machines,['2612']
1773,dead man's bones,['13543']
1774,dead meadow,"['14247', '11126', '2215', '2214']"
1775,dead prez,"['17290', '13260', '2530']"
1776,dead raven choir,['2539']
1777,dead to a dying world,['20834']
1778,deadbeat,"['2222', '2221', '2220', '2219']"
1779,deadboy & the elephantmen,['2638']
1780,deadmau5,['22681']
1781,deaf wish,['20804']
1782,deafheaven,"['21022', '18060']"
1783,deakin,['21822']
1784,dean & britta,"['9953', '8584']"
1785,dean blunt,"['20012', '17956', '17377']"
1786,dean blunt and inga copeland,['16566']
1787,dean roberts,['11819']
1788,dean wareham,"['19098', '18636']"
1789,deantoni parks,['21327']
1790,deastro,"['14507', '13315']"
1791,death,"['20530', '19228', '15060', '12673']"
1792,death cab for cutie,"['20343', '18656', '15482', '12466', '11501', '2233', '2234', '2232', '2226', '2228', '2230', '2231', '2227']"
1793,death comet crew,['2569']
1794,death from above 1979,"['19801', '2588', '2587']"
1795,death grips,"['21879', '21796', '20451', '20102', '19472', '18779', '17216', '16512', '15583']"
1796,death in vegas,['2235']
1797,death index,['21545']
1798,death vessel,"['19053', '12098', '2632']"
1799,deathfix,['17809']
1800,deathprod,['2554']
1801,deathspell omega,['16769']
1802,debbie harry,['10780']
1803,debo band,"['21949', '16847']"
1804,decahedron,['2555']
1805,decibully,['2595']
1806,deco,['18628']
1807,dedekind cut,['22394']
1808,deep time,['16808']
1809,deer tick,"['15965', '14307', '13107', '10772']"
1810,deerhoof,"['22013', '21806', '19917', '16993', '15039', '12645', '12310', '9810', '9056', '2256', '2255', '2254', '2253', '2252', '2249', '2251']"
1811,deerhunter,"['21039', '17966', '15168', '14681', '12991', '12360', '10082', '9824']"
1812,default genders,"['19676', '18389']"
1813,defeated sanity,['17743']
1814,deftones,"['21547', '2260']"
1815,deiphago,['20788']
1816,dej loaf,"['21839', '20896', '19967']"
1817,del tha funkee homosapien,"['18882', '11237', '2541']"
1818,del the funky homosapien,['15353']
1819,delarosa and asora,['2262']
1820,delays,"['14391', '11494', '2557']"
1821,deleted scenes,"['18858', '15778', '12786']"
1822,delia derbyshire,['22195']
1823,delia gonzalez,['20429']
1824,delia gonzalez and gavin russom,['2628']
1825,delicate steve,['16919']
1826,dell and flgel,['2639']
1827,delorean,"['22018', '18468', '14147', '13339']"
1828,delphic,['13873']
1829,delroy edwards,['22152']
1830,delta 5,['2633']
1831,deltron 3030,"['18499', '2272']"
1832,demdike stare,"['22649', '16163', '15012']"
1833,demilich,['18966']
1834,demolition doll rods,['2275']
1835,dena,['18985']
1836,denali,"['2277', '2276']"
1837,dengue fever,"['11241', '2506', '2505']"
1838,deniro farrar,['17884']
1839,denison witmer,['8796']
1840,denitia and sene,['22641']
1841,dennis bovell,['15704']
1842,dennis wilson,['11943']
1843,dent may,"['18385', '16713']"
1844,dent may & his magnificent ukulele,['12725']
1845,department of eagles,"['14455', '12275']"
1846,departure lounge,['2280']
1847,depeche mode,"['17792', '15511', '12940', '9681', '11881', '2285', '2284', '2283']"
1848,deptford goth,"['19916', '17753', '16040']"
1849,deradoorian,"['20939', '12995']"
1850,derek bailey,"['532', '531', '530']"
1851,derrick carter,['15241']
1852,des ark,"['21009', '15418', '2607']"
1853,desaparecidos,"['20720', '2288']"
1854,descendents,"['22196', '2547', '2546']"
1855,desert sessions,['2549']
1856,desertshore,"['19646', '18363', '16095']"
1857,desiigner,['22079']
1858,desmond dekker,['2615']
1859,desolate,['15177']
1860,desolation wilderness,"['13340', '12775']"
1861,despistado,"['2563', '2562']"
1862,destiny's child,['2290']
1863,destroyer,"['20706', '18769', '15484', '15034', '14796', '14141', '13351', '11327', '9594', '8970', '2294', '2293', '2291', '2292']"
1864,destruction unit,"['21073', '18382', '17745']"
1865,detachment kit,"['2296', '2295']"
1866,deus,['2300']
1867,devastations,"['11480', '9597']"
1868,devendra banhart,"['22423', '17800', '13645', '10687', '553', '11659', '550', '548', '547', '546']"
1869,devin davis,['2600']
1870,devin the dude,"['14309', '10034']"
1871,devo,"['18045', '14369']"
1872,devon williams,['12092']
1873,devont hynes,"['21267', '19473']"
1874,devonwho,['22621']
1875,devotchka,"['15186', '11298', '9117']"
1876,dexys,['16686']
1877,dexys midnight runners,"['14755', '9866', '2522']"
1878,diamanda gals,['11750']
1879,diamond nights,"['2618', '2619']"
1880,diamond rings,"['17219', '14829']"
1881,diamond rugs,['16525']
1882,diamond watch wrists,['13054']
1883,diana,['18424']
1884,diane cluck,"['11875', '11709']"
1885,dianogah,"['12363', '2303']"
1886,diarrhea planet,"['21945', '19982', '18410']"
1887,dick diver,['20185']
1888,die antwoord,"['22421', '21976', '16270', '14766']"
1889,die monitr batss,['2593']
1890,diet cig,['20237']
1891,digable planets,['18154']
1892,diggs duke,['20996']
1893,digital leather,['13511']
1894,digital mystikz,['14663']
1895,digitalism,"['16824', '15562', '12185', '10410']"
1896,dignan porch,['17009']
1897,diiv,"['21462', '16749']"
1898,dikembe,['19581']
1899,dill,['2567']
1900,dillinger four,"['12632', '2316']"
1901,dillon francis,['19963']
1902,dilly dally,['21085']
1903,dimlite,['16124']
1904,dinky,['2321']
1905,dinner,['21752']
1906,dino felipe,"['14417', '12011', '3028']"
1907,dinosaur jr.,"['22149', '17370', '17050', '13109', '10127', '11871', '11719', '2323']"
1908,dinowalrus,"['16324', '13977']"
1909,dios,['2544']
1910,dios (malos),['2545']
1911,diplo,"['20044', '18607', '16816', '12634', '12041', '2572', '2571', '5617', '2570']"
1912,dipset,['2620']
1913,directing hand,['2635']
1914,dirty beaches,"['19863', '18076', '15281']"
1915,dirty faces,['9664']
1916,dirty on purpose,"['11081', '9006']"
1917,dirty pretty things,['2643']
1918,dirty projectors,"['17273', '16806', '14436', '13159', '10577', '9337', '2536', '2535', '2534']"
1919,dirty three,"['16336', '2332', '2330', '2329']"
1920,dirty vegas,['2333']
1921,disappears,"['20065', '18430', '17912', '16343', '14988', '14162']"
1922,disasterpeace,['20427']
1923,disclosure,"['22049', '21034', '18890', '18091']"
1924,disco inferno,"['15814', '2556']"
1925,discodeine,['15148']
1926,discovery,['13314']
1927,disfear,['11155']
1928,diskaholics anonymous trio,['11726']
1929,diskjokke,"['15584', '14405', '11368']"
1930,distal,['16655']
1931,dit,['20994']
1932,diverse,['2533']
1933,divine fits,['16972']
1934,division day,"['13689', '11402']"
1935,division of laura lee,"['2344', '2343']"
1936,dizzee rascal,"['16190', '13573', '10309', '2346', '2345']"
1937,dj /rupture,"['13680', '12371', '2586']"
1938,dj andy smith,['2349']
1939,dj blaqstarr,['10188']
1940,dj clever,"['2578', '2577']"
1941,dj dodger stadium,['19562']
1942,dj dog dick,['18974']
1943,dj drama,"['16157', '10992', '9148']"
1944,dj earl,['22246']
1945,dj esco,['22077']
1946,dj firmeza,['21195']
1947,dj food,['2358']
1948,dj fresh,['22403']
1949,dj harvey,['15501']
1950,dj j. peter schwalm,['2794']
1951,dj jester,['2362']
1952,dj kaos,['4593']
1953,dj katapila,['21711']
1954,dj khaled,"['22191', '12230', '10359', '9286']"
1955,dj koze,"['20677', '19962', '17793', '12769', '2543', '2542']"
1956,dj krush,"['2366', '2364']"
1957,dj mayonnaise,['10412']
1958,dj me dj you,"['2369', '2368']"
1959,dj mehdi,['9542']
1960,dj mustard,"['22484', '20884', '19709']"
1961,dj nate,['14868']
1962,dj nature,['17542']
1963,dj paypal,['21169']
1964,dj q,['19218']
1965,dj quik,"['21840', '19930', '15369', '13211', '9312']"
1966,dj rashad,"['21690', '20743', '19330', '18627']"
1967,dj richard,['20878']
1968,dj roc,['20832']
1969,dj rude one,['22572']
1970,dj shadow,"['22019', '17145', '15900', '15525', '12547', '9436', '2378', '2377', '8983', '2376', '2373', '2372']"
1971,dj signify,['2551']
1972,dj snake,['22197']
1973,dj sotofett,['20206']
1974,dj spinn,['21018']
1975,dj spinna,['2380']
1976,dj spoko,['19888']
1977,dj spooky,"['2388', '2386', '2387', '2385', '2384']"
1978,dj sprinkles,['19402']
1979,dj t.,['14238']
1980,dj target,['2604']
1981,dj zeph,"['2393', '2392']"
1982,django django,"['20509', '16504']"
1983,djds,['21552']
1984,dlek,"['21637', '12595', '10465', '9968', '2149', '3019', '2148']"
1985,dm stith,"['14320', '12814', '12536']"
1986,dm-funk,"['21942', '20943', '18350', '14823', '14589', '13634']"
1987,dna,['2568']
1988,dntel,"['19940', '16695', '15950', '12925', '10124', '2396', '2397']"
1989,do make say think,"['13595', '9935', '2400', '2399', '2398']"
1990,do or die,['2601']
1991,doctor rockit,['2564']
1992,dodsferd,['19085']
1993,doe paoro,['21065']
1994,"does it offend you, yeah?",['11291']
1995,dog bite,"['19002', '17704']"
1996,dog shredder,['16508']
1997,dogs die in hot cars,['2583']
1998,doldrums,"['20363', '17646']"
1999,doleful lions,"['9772', '2621']"
2000,doley bernays,['18653']
2001,dolly parton,['11900']
2002,dolorean,['2550']
2003,dolphins into the future,['16395']
2004,dom,"['15707', '14176']"
2005,dominik eulberg,"['15402', '10987', '10078', '2937']"
2006,dominique leone,"['13521', '11546']"
2007,domo genesis,"['21740', '16957']"
2008,don caballero,"['12527', '9223', '2414', '2413']"
2009,don lennon,['4729']
2010,don trip,['18803']
2011,don zientara,['8958']
2012,donato dozzy,"['21020', '19095']"
2013,donmonique,['20954']
2014,donna summer,['2516']
2015,donnacha costello,['20868']
2016,donnie & joe emerson,"['19451', '16841']"
2017,donnie trumpet & the social experiment,['20664']
2018,donny mccaslin,['22483']
2019,donovan,['2424']
2020,doom,"['15114', '13800', '13643', '12869']"
2021,doomriders,"['18629', '13575']"
2022,doomtree,"['20070', '16043', '12147']"
2023,dope body,"['21024', '19959', '16638', '15637']"
2024,dorine muraille,['5507']
2025,doris henson,['2616']
2026,dornik,['20967']
2027,doseone,['2565']
2028,dosh,"['18626', '14114', '11531', '9508', '2504']"
2029,doss,['19284']
2030,dot allison,['119']
2031,double dagger,"['17923', '14026', '12960', '11026']"
2032,double leopards,"['11722', '2513']"
2033,doubled yellow swans,['9489']
2034,doug hilsinger,['3988']
2035,doug hream blunt,['21270']
2036,doug martsch,['5122']
2037,doug paisley,"['18853', '15006']"
2038,doug randle,['12781']
2039,doughboyz cashout,['21202']
2040,douglas mccombs,['16596']
2041,doveman,"['13572', '10786', '2617']"
2042,doves,"['14107', '12904', '2432', '2431', '2430', '2429']"
2043,downfall of gaia,['17399']
2044,downliners sekt,['19210']
2045,downtown boys,['20584']
2046,dr. dog,"['18557', '16268', '14089', '12027', '10069', '9360', '2608']"
2047,dr. dooom,['12352']
2048,dr. dre,"['20935', '9163']"
2049,dr. john,['16455']
2050,dr. mix and the remix,['2566']
2051,dr. octagon,['9157']
2052,dr. yen lo,['20561']
2053,dragged by horses,['11355']
2054,dragged into sunlight,['17381']
2055,dragged into sunlight / gnaw their tongues,['21242']
2056,dragons of zynth,['10736']
2057,dragoon,['14293']
2058,drainolith,['20563']
2059,drake,"['21836', '21102', '20271', '18511', '16039', '14367', '13238']"
2060,drakkar sauna,['12045']
2061,drawing voices,['10364']
2062,drc music,['15874']
2063,drcarlsonalbion,['19542']
2064,dream diary,['15091']
2065,dream police,['19865']
2066,dreamers of the ghetto,['15931']
2067,dreamies,['2449']
2068,dreamscape,['17204']
2069,dredd foole,"['12038', '9902']"
2070,dredg,['2450']
2071,dreezy,['22135']
2072,dressy bessy,"['12713', '2455', '2454']"
2073,drew mcdowall,['21077']
2074,drexciya,"['19824', '18813', '16678', '16175', '2456']"
2075,drinks,['20759']
2076,drivan,['14590']
2077,drive like jehu,['2459']
2078,drive-by truckers,"['21083', '18972', '15742', '15125', '13993', '13380', '13324', '11080', '2512', '11721', '2509', '2508']"
2079,droop capone,['1299']
2080,drop the lime,['2603']
2081,dropxlife,['16204']
2082,drowners,['18868']
2083,drowsy,['2592']
2084,drudkh,['16392']
2085,drug rug,"['13279', '10702']"
2086,drugdealer,['22290']
2087,drummer,['13599']
2088,du blonde,['20442']
2089,dual identity,['14473']
2090,dub colossus,['12582']
2091,dub narcotic,['2470']
2092,dub taylor,['7951']
2093,dub thompson,['19341']
2094,dub trio,"['11188', '9202']"
2095,duck sauce,['19156']
2096,ducktails,"['20818', '18635', '17538', '14960', '13375']"
2097,dudley perkins,"['18872', '6526', '6525']"
2098,duke ellington,['20754']
2099,dum dum girls,"['18912', '17084', '15851', '15156', '14054']"
2100,dump,"['17730', '2477']"
2101,dunes,['16386']
2102,dungen,"['22658', '20949', '14604', '12231', '10226', '2576', '2575', '2574', '2573']"
2103,dungeonesse,['18003']
2104,dunkelziffer,['18131']
2105,duo505,['2582']
2106,dur-dur band,['17612']
2107,duran duran,"['13579', '10910', '2486']"
2108,duran duran duran,['2594']
2109,dusky,['22411']
2110,dust,['21431']
2111,dusted,['16827']
2112,duster,"['2493', '2494']"
2113,dustin wong,"['19737', '18434', '18005', '16314', '14802']"
2114,dusty springfield,['9696']
2115,dutch dub,['2605']
2116,dutch e germ,['19142']
2117,dutch uncles,"['20248', '17431']"
2118,dva,['16377']
2119,dva [hi:emotions],['22438']
2120,dvsn,['21756']
2121,dwarr,['16088']
2122,dwarves,"['2498', '2496']"
2123,dwayne sodahberk,['7309']
2124,dyke drama,['22385']
2125,dylan ettinger,['16542']
2126,dylan leblanc,"['21389', '14795']"
2127,dysrhythmia,"['13359', '2503']"
2128,dz deathrays,['16660']
2129,e-40,"['22613', '18843', '17363', '16509', '15318', '2941']"
2130,eadonmm,['19068']
2131,eagles of death metal,"['21115', '12388', '2904', '2903']"
2132,eagulls,"['21868', '18987']"
2133,ear pwr,"['15503', '13104']"
2134,eardrum,['2644']
2135,earl sweatshirt,"['20422', '18380']"
2136,earl zinger,['8936']
2137,earlimart,"['17105', '11948', '10591', '2653', '2652', '2651']"
2138,early day miners,"['13564', '9837', '2657', '2656', '2655']"
2139,early graves,['17314']
2140,early man,"['2928', '2927']"
2141,earth,"['19777', '16283', '15072', '14804', '11218', '10031', '11737', '2924']"
2142,"earth, roots and water",['11310']
2143,eartheater,"['21187', '20277']"
2144,earthless,['18558']
2145,earthly,['20738']
2146,earthride,['2936']
2147,east india youth,['20286']
2148,east river pipe,"['15116', '2660', '2659']"
2149,eastern lane,['2919']
2150,easy star all-stars,"['9417', '9417']"
2151,eat skull,"['17662', '13051', '11968']"
2152,eaters,['19485']
2153,eazy-e,['2935']
2154,eberhard weber,['8777']
2155,ebo taylor,['15093']
2156,echo and the bunnymen,"['19391', '13592', '2675', '11727', '2668', '2669', '2667']"
2157,echo lake,['16746']
2158,echoboy,"['2679', '2677', '2678']"
2159,ecstatic sunshine,['11495']
2160,ecstatic vision,['20731']
2161,ed askew,"['15248', '11057']"
2162,ed harcourt,"['14321', '11985', '3740', '3739']"
2163,edan,"['13720', '2682', '2681']"
2164,eddie vedder,['15486']
2165,eddy current suppression ring,"['16106', '14017', '13667']"
2166,edie sedgwick,['2922']
2167,edison woods,['2683']
2168,edith frost,"['3226', '3225', '3222', '3224']"
2169,editors,"['13597', '10352', '2933']"
2170,edward burch,['649']
2171,edward sharpe & the magnetic zeros,"['18314', '16675', '13852']"
2172,edwyn collins,"['17755', '14699', '10679']"
2173,eef barzelay,"['12105', '1201']"
2174,eels,"['14626', '13835', '13087', '11648', '2689', '2688', '2687', '2686']"
2175,efdemin,"['14363', '10411']"
2176,effi briest,['14261']
2177,efrim manuel menuck,['15703']
2178,efterklang,"['17087', '13972', '13653', '10854', '2916']"
2179,egg,['2896']
2180,egisto macchi,['22076']
2181,egyptian hip hop,['17225']
2182,egyptian lover,['21804']
2183,egyptrixx,"['18768', '15041']"
2184,eight bells,['21524']
2185,eine kleine nacht musik,['12628']
2186,einstrzende neubauten,"['14891', '12552', '11262', '2699', '2698']"
2187,ejecta,['18739']
2188,ekkehard ehlers,"['13069', '8967', '2692', '2690', '5149', '2691']"
2189,el grupo nuevo de omar rodriguez-lopez,['13031']
2190,el guapo,"['2711', '11728']"
2191,el guincho,"['21603', '14637', '14364', '11200']"
2192,el michels affair,['13011']
2193,el perro del mar,"['22306', '17292', '13571', '11187', '9087']"
2194,el vy,['21161']
2195,el-b,['13095']
2196,el-p,"['16641', '14498', '10006', '11729', '2713', '2712']"
2197,elbow,"['19108', '15178', '13728', '11322', '2720', '2719', '2718']"
2198,elder ones,['22706']
2199,elders of zion,['2721']
2200,eleanoora rosenholm,['11341']
2201,eleanor friedberger,"['21380', '18096', '15623']"
2202,electrelane,"['10181', '2724', '2722']"
2203,electric birds,"['2727', '2725']"
2204,electric company,"['2731', '2730']"
2205,electric guest,['16574']
2206,electric light orchestra,"['9922', '2934']"
2207,electric president,['2938']
2208,electric six,"['11271', '9588', '2735', '2733', '2734']"
2209,electric soft parade,['2736']
2210,electric sunset,['14839']
2211,electric turn to me,['2737']
2212,electric wizard,['19622']
2213,electric wrms,['19598']
2214,electrik red,['13606']
2215,electronicat,"['2894', '2893']"
2216,elefant,"['2891', '2890']"
2217,elektro4,['2932']
2218,elephant man,"['9923', '2895']"
2219,elephant micah,['20082']
2220,elevator,['2740']
2221,eleven tigers,['15045']
2222,eleventh dream day,"['20906', '15196', '2743', '2742', '2741']"
